top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,experiment_no,is_pilot,didbf,monitor,mousetrackpad,age,income,edu,is_mobile,mousetrackpad2,ImageId,in_treatment,bound_size,bounding_box_score
430,580,544,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A32GMIWGQO7PSS,Submitted,0% (0/0),0% (0/0),0% (0/0),54,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.85708478957759
404,584,550,152,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1VQ3HAEMWBD4,Submitted,0% (0/0),0% (0/0),0% (0/0),22,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,29.8518021566946
429,581,543,143,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A18WSAKX5YN2FB,Submitted,0% (0/0),0% (0/0),0% (0/0),46,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.62209083920072
424,581,542,147,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1LHZLOG7M6R7T,Submitted,0% (0/0),0% (0/0),0% (0/0),98,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.27999999999997
435,441,137,134,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AJKZ5540SDVSY,Submitted,0% (0/0),0% (0/0),0% (0/0),24,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,548.100930821623
423,582,546,134,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AJKZ5540SDVSY,Submitted,0% (0/0),0% (0/0),0% (0/0),24,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,11.1013430606876
426,580,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,ASFQ9G5I1CGE0,Submitted,0% (0/0),0% (0/0),0% (0/0),201,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.02073791231193
430,583,544,143,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1W087P7UKVN8J,Submitted,0% (0/0),0% (0/0),0% (0/0),48,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.06617851874347
426,582,544,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A81CV8S4VTGF,Submitted,0% (0/0),0% (0/0),0% (0/0),199,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.28717052611753
423,581,544,143,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1R5LI84ON9YWT,Submitted,0% (0/0),0% (0/0),0% (0/0),54,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,1.54726576637247
423,581,540,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2VYU50X74Q8XU,Submitted,0% (0/0),0% (0/0),0% (0/0),177,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.3865355787142
415,593,554,139,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3BP890CXV4UMN,Submitted,0% (0/0),0% (0/0),0% (0/0),59,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,25.7524972280316
430,584,558,136,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3F2OUHPW6L4OZ,Submitted,0% (0/0),0% (0/0),0% (0/0),40,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,22.5933940096895
427,580,547,143,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2XDJMVXSN19L6,Submitted,0% (0/0),0% (0/0),0% (0/0),127,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.87984096063406
431,580,542,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AQ2T4LJPNKKA8,Submitted,0% (0/0),0% (0/0),0% (0/0),98,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.3043313105486
427,582,545,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A18IZO66PK18K8,Submitted,0% (0/0),0% (0/0),0% (0/0),51,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.20878856125586
410,595,564,136,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1GF2LYFWA6W49,Submitted,0% (0/0),0% (0/0),0% (0/0),98,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,39.70837257698
427,580,550,137,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A28TLXDUYLT4H8,Submitted,0% (0/0),0% (0/0),0% (0/0),56,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,12.5805788872361
426,580,542,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AXXWS41NOJ4S9,Submitted,0% (0/0),0% (0/0),0% (0/0),85,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.23287179968436
425,580,544,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1SUUTWO9RWT4F,Submitted,0% (0/0),0% (0/0),0% (0/0),185,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.37453153274492
427,586,548,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3S0BZDTJALVIV,Submitted,0% (0/0),0% (0/0),0% (0/0),86,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.1585644562463
426,582,544,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A379UIKF6UHQSU,Submitted,0% (0/0),0% (0/0),0% (0/0),210,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.28717052611753
425,582,541,150,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2XAFV105K79SV,Submitted,0% (0/0),0% (0/0),0% (0/0),57,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.4897432371129
427,581,549,143,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1286MJRXBW4QP,Submitted,0% (0/0),0% (0/0),0% (0/0),29,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.65240965912506
430,580,549,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A37PD18XMTG42E,Submitted,0% (0/0),0% (0/0),0% (0/0),170,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.60411145709571
428,581,541,149,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AWX82YIZL7HAY,Submitted,0% (0/0),0% (0/0),0% (0/0),28,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,11.0482899330565
425,579,544,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2REBBMVBFBWFD,Submitted,0% (0/0),0% (0/0),0% (0/0),144,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.28717052611753
409,599,582,126,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A30RO5CT9V6Y2N,Submitted,0% (0/0),0% (0/0),0% (0/0),55,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,65.2661738001705
426,581,542,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1AIVNFDDQYIFG,Submitted,0% (0/0),0% (0/0),0% (0/0),184,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.95203864711749
427,585,543,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1JQBXPIEUE74,Submitted,0% (0/0),0% (0/0),0% (0/0),181,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.21166675965733
426,580,546,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1S8X325605Z59,Submitted,0% (0/0),0% (0/0),0% (0/0),72,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.60586039962542
407,582,559,135,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A351BKQC7NEH3A,Submitted,0% (0/0),0% (0/0),0% (0/0),18,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,30.6729015623029
425,583,547,144,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A163EEPTFJILT8,Submitted,0% (0/0),0% (0/0),0% (0/0),110,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,4.66302785472121
425,583,544,142,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3LPSDWXGLBR0Y,Submitted,0% (0/0),0% (0/0),0% (0/0),64,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,3.60586039962542
425,580,542,145,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AAO2L1GYQ8Y1J,Submitted,0% (0/0),0% (0/0),0% (0/0),165,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,4.74388115074187
417,595,557,129,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2G8HYMQSJU01G,Submitted,0% (0/0),0% (0/0),0% (0/0),33,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,34.2597265708008
435,564,526,155,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2KUST2133YS0Q,Submitted,0% (0/0),0% (0/0),0% (0/0),75,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,42.2468419328844
424,584,547,144,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3SXNRM8UV25U8,Submitted,0% (0/0),0% (0/0),0% (0/0),55,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,5.42750713120607
583,599,581,568,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3FNJB2GPWA41I,Submitted,0% (0/0),0% (0/0),0% (0/0),373,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,588.125741589702
425,584,544,147,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3FNJB2GPWA41I,Submitted,0% (0/0),0% (0/0),0% (0/0),373,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,5.90421393229499
425,581,545,144,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A27AD3HN4FXQRU,Submitted,0% (0/0),0% (0/0),0% (0/0),181,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,1.7028264204469
426,581,543,145,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,ACRXK1LP5PMIC,Submitted,0% (0/0),0% (0/0),0% (0/0),66,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,4.22642610565233
387,599,561,127,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2S37P50AYCUYV,Submitted,0% (0/0),0% (0/0),0% (0/0),26,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,64.7793745782587
433,578,544,133,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,ASAG9N3A245K,Submitted,0% (0/0),0% (0/0),0% (0/0),3398,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,19.8083469168978
523,532,737,501,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1JP9SSRVAVIVY,Submitted,0% (0/0),0% (0/0),0% (0/0),123,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,577.321985214395
0,37,1024,567,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1JP9SSRVAVIVY,Submitted,0% (0/0),0% (0/0),0% (0/0),123,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,1329.46785346254
653,653,529,529,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1JP9SSRVAVIVY,Submitted,0% (0/0),0% (0/0),0% (0/0),123,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,621.837181855705
426,595,564,165,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1JP9SSRVAVIVY,Submitted,0% (0/0),0% (0/0),0% (0/0),123,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,45.2368477947615
428,580,546,149,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A22QI59B54KVQV,Submitted,0% (0/0),0% (0/0),0% (0/0),38,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,9.95284517683233
427,584,546,142,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1BWEEL7ITEY8U,Submitted,0% (0/0),0% (0/0),0% (0/0),42,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,6.58774620033287
394,605,550,137,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A32FUSRCPOYHR9,Submitted,0% (0/0),0% (0/0),0% (0/0),10,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,55.3034683073312
572,575,513,457,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3EUFDOUX1GCL,Submitted,0% (0/0),0% (0/0),0% (0/0),34,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,465.04166047085
418,574,535,142,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3EUFDOUX1GCL,Submitted,0% (0/0),0% (0/0),0% (0/0),34,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,18.4856076289302
423,582,540,147,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A23NESSAWIXYA5,Submitted,0% (0/0),0% (0/0),0% (0/0),57,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,8.52139981468349
430,579,543,146,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2TFPKCSIZZJN2,Submitted,0% (0/0),0% (0/0),0% (0/0),87,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,9.53213510939202
427,581,552,141,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3BN0SS0VWD2OS,Submitted,0% (0/0),0% (0/0),0% (0/0),51,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,10.3079305482623
426,582,544,147,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AHT0WFH0HG5UE,Submitted,0% (0/0),0% (0/0),0% (0/0),73,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,5.87476899571434
428,581,544,145,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1V1RQ5AUJ3Z2M,Submitted,0% (0/0),0% (0/0),0% (0/0),45,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,5.69087644837508
433,576,546,146,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AR3JMPM6X68BA,Submitted,0% (0/0),0% (0/0),0% (0/0),75,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,14.7563421693732
426,581,544,145,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A22XHAJL4PU6N5,Submitted,0% (0/0),0% (0/0),0% (0/0),132,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,3.73990475974505
426,581,544,147,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,APCSGN4VRROXA,Submitted,0% (0/0),0% (0/0),0% (0/0),71,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,5.73990475974505
425,581,544,146,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3VHVIFPUEC1GN,Submitted,0% (0/0),0% (0/0),0% (0/0),72,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,3.82726576637245
425,581,541,149,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A32DRYN7M7HIZT,Submitted,0% (0/0),0% (0/0),0% (0/0),28,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,9.41486423596926
435,578,550,143,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1DQPM5CVDL4Q5,Submitted,0% (0/0),0% (0/0),0% (0/0),41,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,15.2579274956115
428,580,544,145,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2SC40M5CK36U,Submitted,0% (0/0),0% (0/0),0% (0/0),38,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,5.97170960094195
426,580,544,145,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2VYTR0UJ6ODLZ,Submitted,0% (0/0),0% (0/0),0% (0/0),66,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,4.02073791231193
427,581,546,144,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1W8V6QS65FT1E,Submitted,0% (0/0),0% (0/0),0% (0/0),26,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,3.93387310016642
482,542,549,131,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A13FVM2C914A3H,Submitted,0% (0/0),0% (0/0),0% (0/0),175,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,99.0753743721599
432,576,540,148,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A13FVM2C914A3H,Submitted,0% (0/0),0% (0/0),0% (0/0),175,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,16.0694823311475
426,579,544,146,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AT379ULO1RY9R,Submitted,0% (0/0),0% (0/0),0% (0/0),153,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,5.41194340686257
426,580,543,145,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3H629OSA4K43W,Submitted,0% (0/0),0% (0/0),0% (0/0),61,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,4.50725925821921
426,581,543,145,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3FU3F8FJN5K5F,Submitted,0% (0/0),0% (0/0),0% (0/0),74,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,4.22642610565233
425,581,544,144,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3R3OUJP49459I,Submitted,0% (0/0),0% (0/0),0% (0/0),159,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,1.82726576637245
431,582,545,144,3YGE63DIOBFOYTTRJHCQA5J1W2Q0WP,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2YHNN0QPCX5F2,Submitted,0% (0/0),0% (0/0),0% (0/0),43,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,8.19651679626146
